Code ECTS;Date;Promo;Matière;Enseignant;Horaire;Duree;†salle
1SET;mardi 3 novembre 2015;1;Set Theory;LONGO;09:00;2;7
1SET;mardi 3 novembre 2015;1;Set Theory;LONGO;11:00;2;
1SET;mardi 3 novembre 2015;1;Set Theory;LONGO;14:00;2;
1SET;mardi 3 novembre 2015;1;Set Theory;LONGO;16:00;2;
1SET;jeudi 5 novembre 2015;1;Set Theory;LONGO;09:00;2;
1SET;jeudi 5 novembre 2015;1;Set Theory;LONGO;11:00;2;
1SET;jeudi 5 novembre 2015;1;Set Theory;LONGO;14:00;2;
1SET;jeudi 5 novembre 2015;1;Set Theory;LONGO;16:00;2;
1SET;vendredi 6 novembre 2015;1;Set Theory;LONGO;09:00;2;
1SET;vendredi 6 novembre 2015;1;Set Theory;LONGO;11:00;2;
1CPA;lundi 9 novembre 2015;1;Computer Architecture;PERRIER;09:00;2;
1CPA;lundi 9 novembre 2015;1;Computer Architecture;PERRIER;11:00;2;
1CPA;lundi 9 novembre 2015;1;Computer Architecture;PERRIER;14:00;2;
1CPA;lundi 9 novembre 2015;1;Computer Architecture;PERRIER;16:00;2;
1CPA;mardi 10 novembre 2015;1;Computer Architecture;PERRIER;09:00;2;
1CPA;mardi 10 novembre 2015;1;Computer Architecture;PERRIER;11:00;2;
1CPA;mardi 10 novembre 2015;1;Computer Architecture;PERRIER;14:00;2;
1CPA;mardi 10 novembre 2015;1;Computer Architecture;PERRIER;16:00;2;
1ADS;jeudi 12 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;09:00;2;
1ADS;jeudi 12 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;11:00;2;
1ADS;jeudi 12 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;14:00;2;
1ADS;jeudi 12 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;16:00;2;
1ADS;vendredi 13 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;09:00;2;
1ADS;vendredi 13 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;11:00;2;
1ADS;vendredi 13 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;14:00;2;
1ADS;vendredi 13 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;16:00;2;
1ADS;lundi 16 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;09:00;2;
1ADS;lundi 16 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;11:00;2;
1ADS;lundi 16 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;14:00;2;
1ADS;lundi 16 novembre 2015;1;Algorithmic in Python Part 1/2;PERRIER;16:00;2;
1CNA;vendredi 20 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;09:00;2;
1CNA;vendredi 20 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;11:00;2;
1CNA;lundi 23 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;09:00;2;
1CNA;lundi 23 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;11:00;2;
1CPA;lundi 23 novembre 2015;1;Computer Architecture TP (Duree 2H);CAMPUS;14:00;2;
1ENG;mardi 24 novembre 2015;1;English Language (Position Test Duree 2h30);CAMPUS;14:00;2;
1CNA;mercredi 25 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;09:00;2;
1CNA;mercredi 25 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;11:00;2;
1CNA;mercredi 25 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;14:00;2;
1CNA;mercredi 25 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;16:00;2;
1CNA;jeudi 26 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;09:00;2;
1CNA;jeudi 26 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;11:00;2;
1CNA;jeudi 26 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;14:00;2;
1CNA;jeudi 26 novembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;16:00;2;
1SET;vendredi 27 novembre 2015;1;Set Theory SOE (Duree 10') (selon planning regional);LONGO;09:00;2;
1SET;vendredi 27 novembre 2015;1;Set Theory SOE (Duree 10') (selon planning regional);LONGO;11:00;2;
1ADS;vendredi 27 novembre 2015;1;Algorithmic in Python TP (Duree 4H);CAMPUS;14:00;2;
1ADS;vendredi 27 novembre 2015;1;Algorithmic in Python TP (Duree 4H);CAMPUS;16:00;2;
1ADS;lundi 30 novembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;09:00;2;
1ADS;lundi 30 novembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;11:00;2;
1ADS;lundi 30 novembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;14:00;2;
1ADS;lundi 30 novembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;16:00;2;
1ADS;mardi 1 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;09:00;2;
1ADS;mardi 1 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;11:00;2;
1ADS;mardi 1 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;14:00;2;
1ADS;mardi 1 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;16:00;2;
1CNA;mercredi 2 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;09:00;2;
1CNA;mercredi 2 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 1/2;LLEDO;11:00;2;
1SJF;mercredi 2 dÈcembre 2015;1;SUPINFO Job Forum A.Sc,1;CAMPUS;14:00;2;
1SJF;mercredi 2 dÈcembre 2015;1;SUPINFO Job Forum A.Sc,1;CAMPUS;16:00;2;
1ADS;jeudi 3 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;09:00;2;
1ADS;jeudi 3 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;11:00;2;
1ADS;jeudi 3 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;14:00;2;
1ADS;jeudi 3 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;16:00;2;
1CNA;vendredi 4 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;09:00;2;
1CNA;vendredi 4 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;11:00;2;
1CNA;vendredi 4 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;14:00;2;
1CNA;vendredi 4 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;16:00;2;
1CNA;jeudi 10 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;09:00;2;
1CNA;jeudi 10 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;11:00;2;
1LAL;jeudi 10 dÈcembre 2015;1;Linear Algebra;LONGO;14:00;2;
1LAL;jeudi 10 dÈcembre 2015;1;Linear Algebra;LONGO;16:00;2;
1LAL;vendredi 11 dÈcembre 2015;1;Linear Algebra;LONGO;09:00;2;
1LAL;vendredi 11 dÈcembre 2015;1;Linear Algebra;LONGO;11:00;2;
1LAL;vendredi 11 dÈcembre 2015;1;Linear Algebra;LONGO;14:00;2;
1LAL;vendredi 11 dÈcembre 2015;1;Linear Algebra;LONGO;16:00;2;
1LAL;lundi 14 dÈcembre 2015;1;Linear Algebra;LONGO;09:00;2;
1LAL;lundi 14 dÈcembre 2015;1;Linear Algebra;LONGO;11:00;2;
1LAL;mardi 15 dÈcembre 2015;1;Linear Algebra;LONGO;09:00;2;
1LAL;mardi 15 dÈcembre 2015;1;Linear Algebra;LONGO;11:00;2;
1SET;mardi 15 dÈcembre 2015;1;Set Theory TP (Duree 4H);CAMPUS;14:00;2;
1SET;mardi 15 dÈcembre 2015;1;Set Theory TP (Duree 4H);CAMPUS;16:00;2;
